,Model,Description,Date,Precision,Recall,F1-score,LogLoss,Mcc
0,None,Table init,2023-04-26 13:47:36.765464,0,0,0,0,0
0,Decision Tree Classifier4,first simple model,2023-04-26 13:47:43.052645,0.9166666666666666,0.825,0.8684210526315789,0.015070937192305433,0.8694210856881367
0,Decision Tree Classifier4,first simple model,2023-04-26 13:48:20.185947,0.9166666666666666,0.825,0.8684210526315789,0.015070937192305433,0.8694210856881367
0,Decision Tree Classifier4,first simple model,2023-04-26 13:49:51.310670,0.9166666666666666,0.825,0.8684210526315789,0.015070937192305433,0.8694210856881367
0,Decision Tree Classifier4,first simple model,2023-04-26 13:51:04.857482,0.9166666666666666,0.825,0.8684210526315789,0.015070937192305433,0.8694210856881367
0,Decision Tree Classifier4,first simple model,2023-04-26 13:51:07.352628,0.9166666666666666,0.825,0.8684210526315789,0.015070937192305433,0.8694210856881367
0,Decision Tree Classifier4,first simple model,2023-04-26 13:51:08.129802,0.9166666666666666,0.825,0.8684210526315789,0.015070937192305433,0.8694210856881367
0,Decision Tree Classifier4,first simple model,2023-04-26 13:51:08.702653,0.9166666666666666,0.825,0.8684210526315789,0.015070937192305433,0.8694210856881367
0,Decision Tree Classifier4,first simple model,2023-04-26 13:51:09.205955,0.9166666666666666,0.825,0.8684210526315789,0.015070937192305433,0.8694210856881367
0,Decision Tree Classifier4,first simple model,2023-04-26 13:51:09.968942,0.9166666666666666,0.825,0.8684210526315789,0.015070937192305433,0.8694210856881367
0,Decision Tree Classifier4,first simple model,2023-04-26 13:51:10.516252,0.9166666666666666,0.825,0.8684210526315789,0.015070937192305433,0.8694210856881367
0,Decision Tree Classifier4,first simple model,2023-04-26 13:51:15.248624,0.9166666666666666,0.825,0.8684210526315789,0.015070937192305433,0.8694210856881367
0,Decision Tree Classifier4,first simple model,2023-04-26 13:51:16.261162,0.9166666666666666,0.825,0.8684210526315789,0.015070937192305433,0.8694210856881367
0,Decision Tree Classifier4,first simple model,2023-04-26 13:51:16.613453,0.9166666666666666,0.825,0.8684210526315789,0.015070937192305433,0.8694210856881367
0,Decision Tree Classifier4,first simple model,2023-04-26 13:51:17.018224,0.9166666666666666,0.825,0.8684210526315789,0.015070937192305433,0.8694210856881367
0,Decision Tree Classifier4,first simple model,2023-04-26 13:51:26.263755,0.9166666666666666,0.825,0.8684210526315789,0.015070937192305433,0.8694210856881367
0,Decision Tree Classifier4,first simple model,2023-04-26 13:51:26.341159,0.9166666666666666,0.825,0.8684210526315789,0.015070937192305433,0.8694210856881367
0,Decision Tree Classifier4,first simple model,2023-04-26 13:53:29.997921,3,3,3,3,3
0,Decision Tree Classifier4,first simple model,2023-04-26 13:53:30.075868,3,3,3,3,3
0,Decision Tree Classifier4,first simple model,2023-04-26 13:55:12.800459,0.9166666666666666,0.825,0.8684210526315789,0.015070937192305433,0.8694210856881367
0,Decision Tree Classifier4,first simple model,2023-04-26 14:00:44.017382,0.9166666666666666,0.825,0.8684210526315789,0.015070937192305433,0.8694210856881367
