Model,Description,Date,Precision,Recall,F1-score,LogLoss,Mcc,PublicScore,PrivateScore,OldPublicScore,OldPrivateScore,MeanOurMetrics
Decision Tree Classifier,La basemax_leaf_nodes : 6 + with date columns,2023-05-06 20:37:01.701978,0.8918918918918919,0.825,0.8571428571428571,0.01657803091153596,0.8575660878138084,,,[0.666666666],[0.661016949],0.8579002092121394
Random Forest Classifier,La basen_estimators : 36 + Entropy,2023-05-06 20:37:02.891559,0.8,0.9,0.8470588235294118,0.019592218349997,0.8482615719854126,,,[0.69090909],[0.649122807],0.8488300988787062
XGBClassifier,La basescale_pos_weight = 22,2023-05-06 20:37:04.316049,0.8409090909090909,0.925,0.8809523809523809,0.015070937192305438,0.8817472211614181,,,[0.677419354],[0.676923076],0.8821521732557225
RandomForestClassifierUpperSampling,"La baseupsampled, n_estimators=36, criterion = entropy",2023-05-06 20:37:06.774426,0.7659574468085106,0.9,0.8275862068965516,0.02260640578845805,0.8299747399839703,,,[0.678571428],[0.637168141],0.8308795984222581
RandomForestClassifierUnderSampling,"La baseundersampled, n_estimators=36, criterion = entropy",2023-05-06 20:37:09.025865,0.7659574468085106,0.9,0.8275862068965516,0.02260640578845805,0.8299747399839703,,,[0.549019607],[0.48076923],0.8308795984222581
Decision Tree Classifier,Sans veryLow MImax_leaf_nodes : 6 + with date columns,2023-05-06 20:51:15.706650,0.9428571428571428,0.825,0.88,0.013563843473074917,0.8817802242493242,,,[0.666666666],[0.661016949],0.8824093417766168
Random Forest Classifier,Sans veryLow MIn_estimators : 36 + Entropy,2023-05-06 20:51:16.916077,0.7555555555555555,0.85,0.7999999999999998,0.025620593226919088,0.8010371994340306,,,[0.69090909],[0.649122807],0.8016481887473965
XGBClassifier,Sans veryLow MIscale_pos_weight = 22,2023-05-06 20:51:18.180099,0.8604651162790697,0.925,0.891566265060241,0.013563843473074917,0.8919628863065155,,,[0.677419354],[0.676923076],0.8922485669114566
RandomForestClassifierUpperSampling,"Sans veryLow MIupsampled, n_estimators=36, criterion = entropy",2023-05-06 20:51:20.658177,0.782608695652174,0.9,0.8372093023255814,0.021099312069227525,0.8389691882650828,,,[0.678571428],[0.637168141],0.8396967965607095
RandomForestClassifierUnderSampling,"Sans veryLow MIundersampled, n_estimators=36, criterion = entropy",2023-05-06 20:51:22.937609,0.782608695652174,0.9,0.8372093023255814,0.021099312069227525,0.8389691882650828,,,[0.549019607],[0.48076923],0.8396967965607095
Decision Tree Classifier,Sans Low MImax_leaf_nodes : 6 + with date columns,2023-05-06 20:51:23.078874,0.5,0.05,0.09090909090909091,0.06028374876922109,0.15773012408095563,,,[0.666666666],[0.661016949],0.19965980374751166
Random Forest Classifier,Sans Low MIn_estimators : 36 + Entropy,2023-05-06 20:51:24.053805,0.5666666666666667,0.425,0.48571428571428565,0.054255373892298994,0.4900164114813236,,,[0.69090909],[0.649122807],0.491849340965569
XGBClassifier,Sans Low MIscale_pos_weight = 22,2023-05-06 20:51:24.981709,0.39705882352941174,0.675,0.5,0.08138306083844839,0.5166873861045466,,,[0.677419354],[0.676923076],0.5221865524084895
RandomForestClassifierUpperSampling,"Sans Low MIupsampled, n_estimators=36, criterion = entropy",2023-05-06 20:51:27.254243,0.34285714285714286,0.6,0.43636363636363634,0.09343981059229256,0.45238527766960396,,,[0.678571428],[0.637168141],0.4579015142225958
RandomForestClassifierUnderSampling,"Sans Low MIundersampled, n_estimators=36, criterion = entropy",2023-05-06 20:51:29.419018,0.34285714285714286,0.6,0.43636363636363634,0.09343981059229256,0.45238527766960396,,,[0.549019607],[0.48076923],0.4579015142225958
Decision Tree Classifier,Sans mediumMI MImax_leaf_nodes : 6 + with date columns,2023-05-06 20:51:29.534162,,0.0,,0.06028374876922109,0.0,,,[0.666666666],[0.661016949],0.0
Random Forest Classifier,Sans mediumMI MIn_estimators : 36 + Entropy,2023-05-06 20:51:29.969941,,0.0,,0.06028374876922109,0.0,,,[0.69090909],[0.649122807],0.0
XGBClassifier,Sans mediumMI MIscale_pos_weight = 22,2023-05-06 20:51:30.439168,0.15217391304347827,0.175,0.1627906976744186,0.10851074778459775,0.1616854682371898,,,[0.677419354],[0.676923076],0.16291251973877166
RandomForestClassifierUpperSampling,"Sans mediumMI MIupsampled, n_estimators=36, criterion = entropy",2023-05-06 20:51:31.381130,0.010615711252653927,0.875,0.020976925382079712,4.923675180726113,0.087517707490139,,,[0.678571428],[0.637168141],0.24852758603121816
RandomForestClassifierUnderSampling,"Sans mediumMI MIundersampled, n_estimators=36, criterion = entropy",2023-05-06 20:51:32.149516,0.010615711252653927,0.875,0.020976925382079712,4.923675180726113,0.087517707490139,,,[0.549019607],[0.48076923],0.24852758603121816
